




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (3008)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of striated muscle cell differentiation (GO:0051153)	86	27	12.56	+	2.15	9.95E-04	1.54E-02
Golgi vesicle transport (GO:0048193)	398	33	58.13	-	.57	9.85E-04	1.52E-02
negative regulation of inflammatory response (GO:0050728)	320	73	46.74	+	1.56	9.79E-04	1.52E-02
positive regulation of collagen biosynthetic process (GO:0032967)	27	13	3.94	+	3.30	9.63E-04	1.50E-02
behavioral fear response (GO:0001662)	27	13	3.94	+	3.30	9.63E-04	1.50E-02
membrane invagination (GO:0010324)	148	7	21.62	-	.32	9.66E-04	1.50E-02
embryonic camera-type eye morphogenesis (GO:0048596)	27	13	3.94	+	3.30	9.63E-04	1.50E-02
cell-cell signaling involved in cardiac conduction (GO:0086019)	27	13	3.94	+	3.30	9.63E-04	1.50E-02
response to nicotine (GO:0035094)	46	18	6.72	+	2.68	9.59E-04	1.50E-02
detection of temperature stimulus (GO:0016048)	27	13	3.94	+	3.30	9.63E-04	1.49E-02
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	207	52	30.23	+	1.72	9.49E-04	1.48E-02
antigen receptor-mediated signaling pathway (GO:0050851)	299	22	43.67	-	.50	9.45E-04	1.48E-02
embryonic heart tube morphogenesis (GO:0003143)	71	24	10.37	+	2.31	9.28E-04	1.45E-02
positive regulation of steroid hormone secretion (GO:2000833)	10	8	1.46	+	5.48	9.19E-04	1.44E-02
regulation of odontogenesis of dentin-containing tooth (GO:0042487)	10	8	1.46	+	5.48	9.19E-04	1.44E-02
substrate-independent telencephalic tangential interneuron migration (GO:0021843)	10	8	1.46	+	5.48	9.19E-04	1.44E-02
interneuron migration from the subpallium to the cortex (GO:0021830)	10	8	1.46	+	5.48	9.19E-04	1.44E-02
substrate-independent telencephalic tangential migration (GO:0021826)	10	8	1.46	+	5.48	9.19E-04	1.44E-02
mesodermal cell fate commitment (GO:0001710)	13	9	1.90	+	4.74	9.12E-04	1.43E-02
hematopoietic or lymphoid organ development (GO:0048534)	633	128	92.45	+	1.38	8.99E-04	1.42E-02
response to peptide (GO:1901652)	488	103	71.27	+	1.45	9.00E-04	1.42E-02
innervation (GO:0060384)	23	12	3.36	+	3.57	8.78E-04	1.39E-02
cell aggregation (GO:0098743)	23	12	3.36	+	3.57	8.78E-04	1.39E-02
enteroendocrine cell differentiation (GO:0035883)	23	12	3.36	+	3.57	8.78E-04	1.39E-02
male genitalia development (GO:0030539)	23	12	3.36	+	3.57	8.78E-04	1.39E-02
peptide hormone secretion (GO:0030072)	57	21	8.33	+	2.52	8.74E-04	1.38E-02
cardiac ventricle morphogenesis (GO:0003208)	70	24	10.22	+	2.35	8.58E-04	1.36E-02
cellular response to inorganic substance (GO:0071241)	228	56	33.30	+	1.68	8.55E-04	1.36E-02
striated muscle cell differentiation (GO:0051146)	191	49	27.90	+	1.76	8.49E-04	1.35E-02
detoxification of copper ion (GO:0010273)	16	10	2.34	+	4.28	8.46E-04	1.35E-02
stress response to copper ion (GO:1990169)	16	10	2.34	+	4.28	8.46E-04	1.35E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	13	30.96	-	.42	8.42E-04	1.34E-02
canonical Wnt signaling pathway (GO:0060070)	84	27	12.27	+	2.20	8.30E-04	1.32E-02
positive regulation of amine transport (GO:0051954)	38	16	5.55	+	2.88	8.27E-04	1.32E-02
anterior/posterior axon guidance (GO:0033564)	7	7	1.02	+	6.85	8.20E-04	1.31E-02
regulation of chemotaxis (GO:0050920)	226	56	33.01	+	1.70	8.13E-04	1.30E-02
aminoglycan metabolic process (GO:0006022)	166	44	24.25	+	1.81	7.98E-04	1.28E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	222	14	32.42	-	.43	7.96E-04	1.28E-02
neurotransmitter uptake (GO:0001504)	30	14	4.38	+	3.20	7.89E-04	1.27E-02
regulation of muscle cell differentiation (GO:0051147)	145	40	21.18	+	1.89	7.85E-04	1.26E-02
endoderm development (GO:0007492)	75	25	10.95	+	2.28	7.63E-04	1.23E-02
positive regulation of stem cell differentiation (GO:2000738)	19	11	2.78	+	3.96	7.53E-04	1.21E-02
skeletal muscle organ development (GO:0060538)	134	38	19.57	+	1.94	7.52E-04	1.21E-02
meiotic cell cycle (GO:0051321)	233	15	34.03	-	.44	7.50E-04	1.21E-02
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	44	18	6.43	+	2.80	7.38E-04	1.19E-02
developmental induction (GO:0031128)	26	13	3.80	+	3.42	7.35E-04	1.19E-02
protein localization to organelle (GO:0033365)	742	73	108.37	-	.67	7.37E-04	1.19E-02
regulation of collagen metabolic process (GO:0010712)	44	18	6.43	+	2.80	7.38E-04	1.19E-02
axis elongation (GO:0003401)	26	13	3.80	+	3.42	7.35E-04	1.19E-02
mitotic spindle organization (GO:0007052)	163	8	23.81	-	.34	7.31E-04	1.19E-02
regulation of Notch signaling pathway (GO:0008593)	106	32	15.48	+	2.07	7.25E-04	1.18E-02
response to amine (GO:0014075)	49	19	7.16	+	2.65	7.25E-04	1.18E-02
response to biotic stimulus (GO:0009607)	1547	175	225.95	-	.77	7.22E-04	1.17E-02
RNA modification (GO:0009451)	172	9	25.12	-	.36	7.14E-04	1.16E-02
nucleobase-containing compound transport (GO:0015931)	245	16	35.78	-	.45	7.12E-04	1.16E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	62	37.68	+	1.65	6.91E-04	1.13E-02
positive regulation of epithelial cell migration (GO:0010634)	150	41	21.91	+	1.87	6.69E-04	1.09E-02
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	140	39	20.45	+	1.91	6.65E-04	1.09E-02
positive regulation of muscle contraction (GO:0045933)	43	18	6.28	+	2.87	6.66E-04	1.09E-02
neural crest cell migration (GO:0001755)	53	20	7.74	+	2.58	6.55E-04	1.08E-02
response to nutrient (GO:0007584)	170	45	24.83	+	1.81	6.54E-04	1.07E-02
anterior/posterior axis specification (GO:0009948)	53	20	7.74	+	2.58	6.55E-04	1.07E-02
cartilage condensation (GO:0001502)	22	12	3.21	+	3.73	6.52E-04	1.07E-02
neural crest cell development (GO:0014032)	79	26	11.54	+	2.25	6.50E-04	1.07E-02
response to amphetamine (GO:0001975)	33	15	4.82	+	3.11	6.43E-04	1.06E-02
proximal/distal pattern formation (GO:0009954)	33	15	4.82	+	3.11	6.43E-04	1.06E-02
anion transport (GO:0006820)	460	99	67.19	+	1.47	6.44E-04	1.06E-02
extracellular matrix assembly (GO:0085029)	33	15	4.82	+	3.11	6.43E-04	1.06E-02
aromatic compound catabolic process (GO:0019439)	438	37	63.97	-	.58	6.38E-04	1.06E-02
positive regulation of cell death (GO:0010942)	638	130	93.18	+	1.40	6.34E-04	1.05E-02
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	48	19	7.01	+	2.71	6.23E-04	1.03E-02
nuclear chromosome segregation (GO:0098813)	227	14	33.15	-	.42	6.12E-04	1.02E-02
osteoblast differentiation (GO:0001649)	129	37	18.84	+	1.96	6.10E-04	1.01E-02
cardiac atrium morphogenesis (GO:0003209)	29	14	4.24	+	3.31	6.09E-04	1.01E-02
heart looping (GO:0001947)	65	23	9.49	+	2.42	5.99E-04	9.97E-03
MAPK cascade (GO:0000165)	402	89	58.71	+	1.52	5.96E-04	9.93E-03
circadian rhythm (GO:0007623)	138	39	20.16	+	1.93	5.92E-04	9.89E-03
muscle cell fate commitment (GO:0042693)	15	10	2.19	+	4.56	5.87E-04	9.81E-03
memory (GO:0007613)	119	35	17.38	+	2.01	5.84E-04	9.77E-03
positive regulation of protein tyrosine kinase activity (GO:0061098)	59	22	8.62	+	2.55	5.82E-04	9.74E-03
cellular protein modification process (GO:0006464)	2985	366	435.97	-	.84	5.79E-04	9.71E-03
protein modification process (GO:0036211)	2985	366	435.97	-	.84	5.79E-04	9.70E-03
tube formation (GO:0035148)	147	41	21.47	+	1.91	5.72E-04	9.63E-03
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	147	41	21.47	+	1.91	5.72E-04	9.62E-03
peptidyl-tyrosine modification (GO:0018212)	156	43	22.78	+	1.89	5.51E-04	9.28E-03
negative regulation of cellular response to growth factor stimulus (GO:0090288)	109	33	15.92	+	2.07	5.45E-04	9.18E-03
negative regulation of chromosome organization (GO:2001251)	79	1	11.54	-	.09	5.43E-04	9.16E-03
positive regulation of cAMP-mediated signaling (GO:0043950)	18	11	2.63	+	4.18	5.39E-04	9.09E-03
response to nutrient levels (GO:0031667)	501	107	73.17	+	1.46	5.36E-04	9.05E-03
antigen processing and presentation of exogenous antigen (GO:0019884)	186	10	27.17	-	.37	5.24E-04	8.87E-03
viral process (GO:0016032)	444	37	64.85	-	.57	5.22E-04	8.85E-03
response to calcium ion (GO:0051592)	153	42	22.35	+	1.88	5.18E-04	8.84E-03
regulation of postsynapse organization (GO:0099175)	91	29	13.29	+	2.18	5.19E-04	8.84E-03
detection of mechanical stimulus involved in sensory perception (GO:0050974)	36	16	5.26	+	3.04	5.21E-04	8.84E-03
peptidyl-tyrosine phosphorylation (GO:0018108)	153	42	22.35	+	1.88	5.18E-04	8.84E-03
regulation of neurotransmitter secretion (GO:0046928)	91	29	13.29	+	2.18	5.19E-04	8.83E-03
regulation of platelet activation (GO:0010543)	36	16	5.26	+	3.04	5.21E-04	8.83E-03
regulation of epithelial to mesenchymal transition (GO:0010717)	91	29	13.29	+	2.18	5.19E-04	8.82E-03
lymphocyte mediated immunity (GO:0002449)	259	17	37.83	-	.45	5.10E-04	8.72E-03
regulation of lipid transport (GO:0032368)	133	38	19.43	+	1.96	5.00E-04	8.56E-03
regulation of kidney development (GO:0090183)	32	15	4.67	+	3.21	5.00E-04	8.56E-03
stem cell development (GO:0048864)	84	28	12.27	+	2.28	4.99E-04	8.55E-03
positive regulation of MAP kinase activity (GO:0043406)	232	58	33.88	+	1.71	4.98E-04	8.55E-03
regulation of cell-cell adhesion (GO:0022407)	439	96	64.12	+	1.50	4.88E-04	8.38E-03
glycosaminoglycan metabolic process (GO:0030203)	152	42	22.20	+	1.89	4.85E-04	8.35E-03
genitalia development (GO:0048806)	46	19	6.72	+	2.83	4.79E-04	8.27E-03
axonal fasciculation (GO:0007413)	21	12	3.07	+	3.91	4.77E-04	8.27E-03
embryonic cranial skeleton morphogenesis (GO:0048701)	46	19	6.72	+	2.83	4.79E-04	8.26E-03
protein polyubiquitination (GO:0000209)	325	24	47.47	-	.51	4.80E-04	8.26E-03
regulation of platelet aggregation (GO:0090330)	21	12	3.07	+	3.91	4.77E-04	8.26E-03
negative chemotaxis (GO:0050919)	46	19	6.72	+	2.83	4.79E-04	8.26E-03
neuron projection fasciculation (GO:0106030)	21	12	3.07	+	3.91	4.77E-04	8.25E-03
cranial nerve development (GO:0021545)	51	20	7.45	+	2.68	4.72E-04	8.19E-03
sensory perception of temperature stimulus (GO:0050951)	28	14	4.09	+	3.42	4.65E-04	8.09E-03
epithelial tube formation (GO:0072175)	132	38	19.28	+	1.97	4.65E-04	8.08E-03
positive regulation of collagen metabolic process (GO:0010714)	28	14	4.09	+	3.42	4.65E-04	8.08E-03
tRNA processing (GO:0008033)	134	5	19.57	-	.26	4.63E-04	8.07E-03
heterocycle catabolic process (GO:0046700)	417	34	60.90	-	.56	4.58E-04	7.98E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	25	49.37	-	.51	4.47E-04	7.80E-03
positive regulation of angiogenesis (GO:0045766)	160	44	23.37	+	1.88	4.36E-04	7.63E-03
positive regulation of vasculature development (GO:1904018)	160	44	23.37	+	1.88	4.36E-04	7.63E-03
glandular epithelial cell differentiation (GO:0002067)	45	19	6.57	+	2.89	4.32E-04	7.59E-03
negative regulation of peptide secretion (GO:0002792)	45	19	6.57	+	2.89	4.32E-04	7.58E-03
midbrain development (GO:0030901)	89	29	13.00	+	2.23	4.25E-04	7.47E-03
regulation of potassium ion transmembrane transporter activity (GO:1901016)	62	23	9.06	+	2.54	4.22E-04	7.43E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	174	226.82	-	.77	4.22E-04	7.43E-03
regulation of protein transport (GO:0051223)	556	117	81.21	+	1.44	4.21E-04	7.42E-03
regulation of collagen biosynthetic process (GO:0032965)	39	17	5.70	+	2.98	4.20E-04	7.42E-03
regulation of extent of cell growth (GO:0061387)	112	34	16.36	+	2.08	4.12E-04	7.27E-03
endocardial cushion morphogenesis (GO:0003203)	35	16	5.11	+	3.13	4.08E-04	7.22E-03
regulation of chromosome organization (GO:0033044)	290	20	42.36	-	.47	4.08E-04	7.22E-03
response to ketone (GO:1901654)	200	52	29.21	+	1.78	3.99E-04	7.08E-03
renal vesicle development (GO:0072087)	14	10	2.04	+	4.89	3.98E-04	7.05E-03
establishment of RNA localization (GO:0051236)	191	10	27.90	-	.36	3.96E-04	7.03E-03
regulation of glial cell differentiation (GO:0045685)	74	26	10.81	+	2.41	3.94E-04	7.01E-03
response to vitamin (GO:0033273)	88	29	12.85	+	2.26	3.91E-04	6.97E-03
metanephric renal vesicle morphogenesis (GO:0072283)	11	9	1.61	+	5.60	3.91E-04	6.97E-03
cerebral cortex GABAergic interneuron differentiation (GO:0021892)	11	9	1.61	+	5.60	3.91E-04	6.96E-03
oxidative phosphorylation (GO:0006119)	120	4	17.53	-	.23	3.88E-04	6.96E-03
RNA transport (GO:0050658)	189	10	27.60	-	.36	3.89E-04	6.96E-03
nucleic acid transport (GO:0050657)	189	10	27.60	-	.36	3.89E-04	6.95E-03
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	178	9	26.00	-	.35	3.89E-04	6.95E-03
fear response (GO:0042596)	31	15	4.53	+	3.31	3.85E-04	6.92E-03
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	0	9.06	-	 < 0.01	3.83E-04	6.88E-03
ribosome assembly (GO:0042255)	62	0	9.06	-	 < 0.01	3.83E-04	6.87E-03
retinal ganglion cell axon guidance (GO:0031290)	17	11	2.48	+	4.43	3.77E-04	6.80E-03
spindle organization (GO:0007051)	224	13	32.72	-	.40	3.73E-04	6.72E-03
positive regulation of growth (GO:0045927)	257	63	37.54	+	1.68	3.72E-04	6.72E-03
cellular nitrogen compound catabolic process (GO:0044270)	423	34	61.78	-	.55	3.72E-04	6.72E-03
morphogenesis of embryonic epithelium (GO:0016331)	145	41	21.18	+	1.94	3.68E-04	6.66E-03
organic substance biosynthetic process (GO:1901576)	2803	339	409.39	-	.83	3.64E-04	6.59E-03
regulation of epithelial cell proliferation (GO:0050678)	340	79	49.66	+	1.59	3.61E-04	6.54E-03
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	2	14.02	-	.14	3.58E-04	6.49E-03
development of primary female sexual characteristics (GO:0046545)	93	30	13.58	+	2.21	3.55E-04	6.45E-03
regulation of protein localization (GO:0032880)	894	176	130.57	+	1.35	3.53E-04	6.42E-03
startle response (GO:0001964)	27	14	3.94	+	3.55	3.50E-04	6.41E-03
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	27	14	3.94	+	3.55	3.50E-04	6.40E-03
detection of stimulus involved in sensory perception of pain (GO:0062149)	27	14	3.94	+	3.55	3.50E-04	6.40E-03
cell maturation (GO:0048469)	154	43	22.49	+	1.91	3.51E-04	6.39E-03
embryonic hindlimb morphogenesis (GO:0035116)	27	14	3.94	+	3.55	3.50E-04	6.39E-03
negative regulation of immune system process (GO:0002683)	597	125	87.19	+	1.43	3.42E-04	6.26E-03
determination of left/right symmetry (GO:0007368)	125	37	18.26	+	2.03	3.38E-04	6.19E-03
regulation of receptor internalization (GO:0002090)	58	22	8.47	+	2.60	3.32E-04	6.09E-03
immune system process (GO:0002376)	2903	352	424.00	-	.83	3.22E-04	5.92E-03
action potential (GO:0001508)	92	30	13.44	+	2.23	3.20E-04	5.89E-03
BMP signaling pathway (GO:0030509)	78	27	11.39	+	2.37	3.14E-04	5.79E-03
developmental growth involved in morphogenesis (GO:0060560)	115	35	16.80	+	2.08	3.13E-04	5.77E-03
negative regulation of hormone secretion (GO:0046888)	65	24	9.49	+	2.53	3.11E-04	5.74E-03
positive regulation of neuron projection development (GO:0010976)	161	45	23.51	+	1.91	3.06E-04	5.67E-03
regulation of protein serine/threonine kinase activity (GO:0071900)	493	107	72.01	+	1.49	3.07E-04	5.67E-03
forebrain regionalization (GO:0021871)	23	13	3.36	+	3.87	3.02E-04	5.62E-03
determination of heart left/right asymmetry (GO:0061371)	70	25	10.22	+	2.45	3.03E-04	5.61E-03
hypothalamus development (GO:0021854)	23	13	3.36	+	3.87	3.02E-04	5.61E-03
response to ethanol (GO:0045471)	141	41	20.59	+	1.99	2.96E-04	5.50E-03
antigen processing and presentation of peptide antigen (GO:0048002)	193	10	28.19	-	.35	2.88E-04	5.37E-03
gliogenesis (GO:0042063)	223	57	32.57	+	1.75	2.88E-04	5.37E-03
ribonucleoprotein complex export from nucleus (GO:0071426)	126	4	18.40	-	.22	2.86E-04	5.33E-03
negative regulation of cell growth (GO:0030308)	190	51	27.75	+	1.84	2.85E-04	5.33E-03
excitatory postsynaptic potential (GO:0060079)	64	24	9.35	+	2.57	2.80E-04	5.24E-03
cellular response to metal ion (GO:0071248)	200	53	29.21	+	1.81	2.76E-04	5.18E-03
protein ubiquitination (GO:0016567)	746	71	108.96	-	.65	2.72E-04	5.11E-03
regulation of neural precursor cell proliferation (GO:2000177)	90	30	13.14	+	2.28	2.68E-04	5.03E-03
aerobic respiration (GO:0009060)	160	7	23.37	-	.30	2.67E-04	5.03E-03
regulation of tissue remodeling (GO:0034103)	76	27	11.10	+	2.43	2.67E-04	5.02E-03
nucleobase-containing compound catabolic process (GO:0034655)	373	28	54.48	-	.51	2.67E-04	5.02E-03
regulation of MAP kinase activity (GO:0043405)	310	74	45.28	+	1.63	2.65E-04	5.00E-03
oligodendrocyte differentiation (GO:0048709)	69	25	10.08	+	2.48	2.64E-04	4.99E-03
positive regulation of transporter activity (GO:0032411)	121	37	17.67	+	2.09	2.64E-04	4.99E-03
glomerulus development (GO:0032835)	52	21	7.59	+	2.77	2.63E-04	4.99E-03
cranial skeletal system development (GO:1904888)	69	25	10.08	+	2.48	2.64E-04	4.99E-03
cochlea development (GO:0090102)	52	21	7.59	+	2.77	2.63E-04	4.98E-03
NADH dehydrogenase complex assembly (GO:0010257)	66	0	9.64	-	 < 0.01	2.61E-04	4.98E-03
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	0	9.64	-	 < 0.01	2.61E-04	4.97E-03
renal vesicle morphogenesis (GO:0072077)	13	10	1.90	+	5.27	2.62E-04	4.97E-03
regulation of animal organ formation (GO:0003156)	26	14	3.80	+	3.69	2.61E-04	4.97E-03
regulation of endocrine process (GO:0044060)	37	17	5.40	+	3.15	2.60E-04	4.96E-03
regulation of vasoconstriction (GO:0019229)	63	24	9.20	+	2.61	2.57E-04	4.92E-03
response to mechanical stimulus (GO:0009612)	220	57	32.13	+	1.77	2.55E-04	4.89E-03
neural crest cell differentiation (GO:0014033)	89	30	13.00	+	2.31	2.50E-04	4.79E-03
sister chromatid segregation (GO:0000819)	149	6	21.76	-	.28	2.49E-04	4.78E-03
regulation of sodium ion transport (GO:0002028)	89	30	13.00	+	2.31	2.50E-04	4.78E-03
negative regulation of platelet activation (GO:0010544)	19	12	2.78	+	4.32	2.42E-04	4.66E-03
growth (GO:0040007)	361	84	52.73	+	1.59	2.33E-04	4.49E-03
regulation of morphogenesis of a branching structure (GO:0060688)	51	21	7.45	+	2.82	2.28E-04	4.40E-03
gonad development (GO:0008406)	215	56	31.40	+	1.78	2.24E-04	4.32E-03
protein targeting to ER (GO:0045047)	112	3	16.36	-	.18	2.23E-04	4.30E-03
response to estradiol (GO:0032355)	144	42	21.03	+	2.00	2.22E-04	4.29E-03
positive regulation of cell junction assembly (GO:1901890)	102	33	14.90	+	2.22	2.20E-04	4.26E-03
negative regulation of blood pressure (GO:0045776)	44	19	6.43	+	2.96	2.17E-04	4.21E-03
negative regulation of peptide hormone secretion (GO:0090278)	44	19	6.43	+	2.96	2.17E-04	4.21E-03
embryonic heart tube development (GO:0035050)	80	28	11.68	+	2.40	2.12E-04	4.12E-03
regulation of endothelial cell migration (GO:0010594)	170	47	24.83	+	1.89	2.11E-04	4.11E-03
establishment of protein localization (GO:0045184)	1397	151	204.04	-	.74	2.06E-04	4.01E-03
nuclear export (GO:0051168)	166	7	24.25	-	.29	2.03E-04	3.95E-03
smooth muscle cell differentiation (GO:0051145)	36	17	5.26	+	3.23	2.02E-04	3.94E-03
in utero embryonic development (GO:0001701)	366	85	53.46	+	1.59	1.96E-04	3.83E-03
positive regulation of peptide hormone secretion (GO:0090277)	107	34	15.63	+	2.18	1.94E-04	3.80E-03
RNA phosphodiester bond hydrolysis (GO:0090501)	164	7	23.95	-	.29	1.94E-04	3.80E-03
cardiocyte differentiation (GO:0035051)	107	34	15.63	+	2.18	1.94E-04	3.80E-03
cellular response to organonitrogen compound (GO:0071417)	604	128	88.22	+	1.45	1.93E-04	3.79E-03
ribonucleoprotein complex localization (GO:0071166)	127	4	18.55	-	.22	1.92E-04	3.78E-03
positive regulation of response to stimulus (GO:0048584)	2312	409	337.68	+	1.21	1.91E-04	3.76E-03
rhythmic process (GO:0048511)	269	67	39.29	+	1.71	1.88E-04	3.72E-03
positive regulation of cartilage development (GO:0061036)	32	16	4.67	+	3.42	1.87E-04	3.69E-03
response to wounding (GO:0009611)	543	117	79.31	+	1.48	1.85E-04	3.65E-03
regulation of neuronal synaptic plasticity (GO:0048168)	49	21	7.16	+	2.93	1.83E-04	3.62E-03
determination of bilateral symmetry (GO:0009855)	130	39	18.99	+	2.05	1.82E-04	3.61E-03
telencephalon cell migration (GO:0022029)	59	23	8.62	+	2.67	1.82E-04	3.61E-03
cardiac muscle tissue morphogenesis (GO:0055008)	59	23	8.62	+	2.67	1.82E-04	3.60E-03
mesenchymal cell development (GO:0014031)	84	29	12.27	+	2.36	1.77E-04	3.52E-03
DNA conformation change (GO:0071103)	312	21	45.57	-	.46	1.77E-04	3.52E-03
positive regulation of axonogenesis (GO:0050772)	84	29	12.27	+	2.36	1.77E-04	3.52E-03
recombinational repair (GO:0000725)	103	2	15.04	-	.13	1.71E-04	3.42E-03
cell differentiation involved in metanephros development (GO:0072202)	18	12	2.63	+	4.56	1.68E-04	3.36E-03
spinal cord association neuron differentiation (GO:0021527)	12	10	1.75	+	5.71	1.67E-04	3.35E-03
anatomical structure maturation (GO:0071695)	196	53	28.63	+	1.85	1.67E-04	3.35E-03
developmental growth (GO:0048589)	358	84	52.29	+	1.61	1.67E-04	3.35E-03
regulation of osteoblast differentiation (GO:0045667)	120	37	17.53	+	2.11	1.66E-04	3.34E-03
negative regulation of Notch signaling pathway (GO:0045746)	39	18	5.70	+	3.16	1.65E-04	3.33E-03
cotranslational protein targeting to membrane (GO:0006613)	101	2	14.75	-	.14	1.64E-04	3.31E-03
double-strand break repair via homologous recombination (GO:0000724)	101	2	14.75	-	.14	1.64E-04	3.30E-03
regulation of neurotransmitter transport (GO:0051588)	105	34	15.34	+	2.22	1.63E-04	3.30E-03
RNA localization (GO:0006403)	212	11	30.96	-	.36	1.61E-04	3.26E-03
mitochondrial translational elongation (GO:0070125)	88	1	12.85	-	.08	1.61E-04	3.26E-03
aerobic electron transport chain (GO:0019646)	88	1	12.85	-	.08	1.61E-04	3.25E-03
mitotic nuclear division (GO:0140014)	201	10	29.36	-	.34	1.59E-04	3.24E-03
cellular response to nitrogen compound (GO:1901699)	664	139	96.98	+	1.43	1.57E-04	3.19E-03
embryonic eye morphogenesis (GO:0048048)	35	17	5.11	+	3.33	1.55E-04	3.17E-03
regulation of fat cell differentiation (GO:0045598)	128	39	18.70	+	2.09	1.55E-04	3.17E-03
adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	21	13	3.07	+	4.24	1.55E-04	3.17E-03
epithelial to mesenchymal transition (GO:0001837)	75	27	10.95	+	2.46	1.54E-04	3.16E-03
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	3	16.94	-	.18	1.54E-04	3.16E-03
female pregnancy (GO:0007565)	182	50	26.58	+	1.88	1.54E-04	3.15E-03
ventricular septum development (GO:0003281)	70	26	10.22	+	2.54	1.53E-04	3.15E-03
positive regulation of ion transmembrane transporter activity (GO:0032414)	110	35	16.07	+	2.18	1.47E-04	3.03E-03
odontogenesis of dentin-containing tooth (GO:0042475)	82	29	11.98	+	2.42	1.43E-04	2.93E-03
forebrain cell migration (GO:0021885)	62	24	9.06	+	2.65	1.41E-04	2.91E-03
adrenergic receptor signaling pathway (GO:0071875)	24	14	3.51	+	3.99	1.39E-04	2.88E-03
regulation of bone resorption (GO:0045124)	46	20	6.72	+	2.98	1.39E-04	2.87E-03
regulation of cAMP-mediated signaling (GO:0043949)	42	19	6.13	+	3.10	1.35E-04	2.80E-03
cellular response to calcium ion (GO:0071277)	87	30	12.71	+	2.36	1.34E-04	2.78E-03
multi-multicellular organism process (GO:0044706)	210	56	30.67	+	1.83	1.33E-04	2.75E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1305	248	190.60	+	1.30	1.31E-04	2.73E-03
regulation of chondrocyte differentiation (GO:0032330)	52	22	7.59	+	2.90	1.31E-04	2.73E-03
embryonic placenta development (GO:0001892)	81	29	11.83	+	2.45	1.31E-04	2.72E-03
regulation of catalytic activity (GO:0050790)	2433	430	355.35	+	1.21	1.29E-04	2.69E-03
proteolysis (GO:0006508)	1306	138	190.75	-	.72	1.26E-04	2.63E-03
response to extracellular stimulus (GO:0009991)	531	116	77.56	+	1.50	1.24E-04	2.60E-03
negative regulation of amine transport (GO:0051953)	27	15	3.94	+	3.80	1.22E-04	2.56E-03
ionotropic glutamate receptor signaling pathway (GO:0035235)	27	15	3.94	+	3.80	1.22E-04	2.56E-03
regulation of epithelial cell migration (GO:0010632)	229	60	33.45	+	1.79	1.20E-04	2.51E-03
hindlimb morphogenesis (GO:0035137)	34	17	4.97	+	3.42	1.18E-04	2.49E-03
specification of symmetry (GO:0009799)	131	40	19.13	+	2.09	1.17E-04	2.47E-03
hormone secretion (GO:0046879)	73	27	10.66	+	2.53	1.16E-04	2.44E-03
negative regulation of ion transport (GO:0043271)	148	44	21.62	+	2.04	1.14E-04	2.41E-03
ureter development (GO:0072189)	17	12	2.48	+	4.83	1.14E-04	2.41E-03
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	26	9.79	+	2.66	1.14E-04	2.41E-03
nephron tubule formation (GO:0072079)	17	12	2.48	+	4.83	1.14E-04	2.41E-03
GABAergic neuron differentiation (GO:0097154)	14	11	2.04	+	5.38	1.13E-04	2.40E-03
regulation of heart rate (GO:0002027)	99	33	14.46	+	2.28	1.12E-04	2.39E-03
positive regulation of epithelial cell proliferation (GO:0050679)	194	53	28.33	+	1.87	1.12E-04	2.38E-03
positive regulation of smooth muscle contraction (GO:0045987)	30	16	4.38	+	3.65	1.05E-04	2.25E-03
semi-lunar valve development (GO:1905314)	41	19	5.99	+	3.17	1.06E-04	2.25E-03
myelination (GO:0042552)	106	35	15.48	+	2.26	1.05E-04	2.25E-03
cyclic nucleotide metabolic process (GO:0009187)	41	19	5.99	+	3.17	1.06E-04	2.25E-03
